ACCESSION: LQA00149
RECORD_TITLE: PC(18:1e/14,15-EET); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PC(18:1e/14,15-EET)
  794.6269 101 123
  794.6309 77 94
  794.6348 100 122
  794.6388 44 54
  794.6428 22 27
  794.6468 11 13
  794.6547 21 26
  794.6587 32 39
  794.7502 11 13
  795.53 20 24
  795.538 20 24
  795.5658 31 38
  795.5738 20 24
  795.5817 20 24
  795.5937 31 38
  795.5977 41 50
  795.6096 31 38
  795.6176 20 24
  809.5358 20 24
  868.4977 20 24
  868.506 82 100
  868.5143 31 38
  868.5226 20 24
  868.5269 82 100
  868.531 71 86
  868.5352 92 112
  868.5393 82 100
  868.5435 92 112
  868.5476 61 74
  868.5518 71 86
  868.556 82 100
  868.5601 61 74
  868.5643 31 38
  868.5684 92 112
  868.5726 31 38
  868.5767 82 100
  868.5809 71 86
  868.585 82 100
  868.5892 122 148
  868.5934 82 100
  868.5975 71 86
  868.6017 82 100
  868.6058 133 162
  868.61 31 38
  868.6141 41 50
  868.6183 51 62
  868.6225 41 50
  868.6266 51 62
  868.6308 92 112
  868.6349 51 62
  868.6391 61 74
  868.6432 41 50
  868.6474 31 38
  868.6516 31 38
  868.6558 31 38
  868.6724 20 24
  869.5376 20 24
  869.5583 31 38
  869.5917 20 24
//
