ACCESSION: NGA01940
RECORD_TITLE: 16-Deethylindanomycin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Heterocyclic compounds, Pyrans
CH$NAME: 16-Deethylindanomycin
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C29H39NO4
CH$EXACT_MASS: 465.63848
CH$SMILES: CC/C(=C\C=C\C1C=CC2CCCC2C1C(=O)c1ccc[nH]1)C1OC(C(C)C(=O)O)CCC1C
CH$IUPAC: InChI=1S/C29H39NO4/c1-4-20(28-18(2)13-16-25(34-28)19(3)29(32)33)8-5-10-22-15-14-21-9-6-11-23(21)26(22)27(31)24-12-7-17-30-24/h5,7-8,10,12,14-15,17-19,21-23,25-26,28,30H,4,6,9,11,13,16H2,1-3H3,(H,32,33)/b10-5+,20-8+
  215.8 0.15 0
  215.9 0.23 0
  216.0 0.29 0
  216.1 0.27 0
  216.2 0.2 0
  216.3 0.15 0
  216.4 0.13 0
  216.5 0.12 0
  216.6 0.12 0
  216.7 0.14 0
  216.8 0.22 0
  216.9 0.41 0
  217.0 0.68 0
  217.1 0.91 0
  217.2 0.94 0
  217.3 0.73 0
  217.4 0.41 0
  217.5 0.17 0
  217.6 0.06 0
  217.7 0.06 0
  217.8 0.09 0
  217.9 0.12 0
  218.0 0.17 0
  218.1 0.25 0
  218.2 0.3 0
  218.3 0.26 0
  218.4 0.19 0
  218.5 0.2 0
  218.6 0.37 0
  218.7 0.65 0
  218.8 0.86 0
  218.9 0.92 0
  219.0 0.88 0
  219.1 0.81 0
  219.2 0.69 0
  219.3 0.51 0
  219.4 0.35 0
  219.5 0.3 0
  219.6 0.39 0
  219.7 0.52 0
  219.8 0.66 0
  219.9 0.83 0
  220.0 1.17 1
  220.1 1.63 1
  220.2 1.94 1
  220.3 1.8 1
  220.4 1.21 1
  220.5 0.56 0
  220.6 0.28 0
  220.7 0.39 0
  220.8 0.87 0
  220.9 1.54 1
  221.0 2.15 2
  221.1 2.37 2
  221.2 2.0 1
  221.3 1.23 1
  221.4 0.45 0
  221.5 0.04 0
  221.6 0.01 0
  221.7 0.14 0
  221.8 0.63 0
  221.9 1.29 1
  222.0 1.85 1
  222.1 2.0 1
  222.2 1.7 1
  222.3 1.18 1
  222.4 0.72 0
  222.5 0.48 0
  222.6 0.56 0
  222.7 1.29 1
  222.8 2.74 2
  222.9 4.21 4
  223.0 4.65 4
  223.1 3.8 3
  223.8 2.17 2
  223.9 3.82 3
  224.0 5.22 5
  224.1 5.69 5
  224.2 4.99 4
  224.3 3.44 3
  225.4 5.78 5
  225.5 6.9 6
  225.6 8.46 8
  225.7 12.44 12
  225.8 21.0 20
  225.9 33.93 33
  226.0 47.79 47
  226.1 57.81 57
  226.2 60.3 60
  226.3 53.47 53
  226.4 38.26 38
  226.5 19.74 19
  226.6 5.35 5
  237.7 3.51 3
  237.8 5.48 5
  237.9 7.94 7
  238.0 10.15 10
  238.1 11.26 11
  238.2 10.54 10
  238.3 8.0 7
  238.4 4.69 4
  239.8 1.51 1
  239.9 2.85 2
  240.0 4.29 4
  240.1 5.24 5
  240.2 4.97 4
  240.3 3.44 3
  293.7 1.01 1
  293.8 2.43 2
  293.9 4.56 4
  294.0 6.53 6
  294.1 7.21 7
  294.2 6.18 6
  294.3 4.15 4
  294.4 2.12 2
  403.6 2.12 2
  403.7 4.5 4
  403.8 9.64 9
  403.9 17.89 17
  404.0 28.23 28
  404.1 38.31 38
  404.2 45.51 45
  404.3 48.37 48
  404.4 46.44 46
  404.5 39.36 39
  404.6 27.48 27
  404.7 13.76 13
  404.8 3.12 3
//
