ACCESSION: BS001004
RECORD_TITLE: 3-Glu(1-3)GluA-28-Xyl(1-4)[Api(1-3)]Rha(1-2)Ara Medicagenic acid (NMR); LC-ESI-QTOF; MS
DATE: 2017.12.01 (Created 2014.02.20)
AUTHORS: Plant Biology, The Noble Foundation, Ardmore, OK, US/Dennis Fine, Daniel Wherritt, and Lloyd Sumner
LICENSE: CC BY-NC-SA 4.0 International
CH$NAME: 3-Glu(1-3)GluA-28-Xyl(1-4)[Api(1-3)]Rha(1-2)Ara Medicagenic acid (NMR)
CH$COMPOUND_CLASS: Natural Product; N/A
CH$FORMULA: C63H98O33
CH$EXACT_MASS: 1382.5990
CH$SMILES: [C@H]1([C@@H]([C@@](C(=O)O)(C2[C@](C1)(C3[C@@](CC2)([C@]4(C(=CC3)[C@]5([C@@](CC4)(CCC(C5)(C)C)C(O[C@H]6[C@@H]([C@H]([C@H](CO6)O)O)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@@H]9OC[C@]([C@H]9O)(O)CO)O)=O)[H])C)C)C)C)O[C@@H]%10O[C@@H]([C@H]([C@@H]([C@H]%10O)O[C@@H]%11O[C@@H]([C@H]([C@@H]([C@H]%11O)O)O)CO)O)C(O)=O)O
CH$IUPAC: InChI=1S/C63H98O33/c1-23-41(90-49-36(73)32(69)27(67)19-85-49)43(92-54-46(78)63(84,21-65)22-87-54)40(77)51(88-23)94-45-33(70)28(68)20-86-53(45)96-56(83)62-14-12-57(2,3)16-25(62)24-8-9-30-58(4)17-26(66)47(61(7,55(81)82)31(58)10-11-60(30,6)59(24,5)13-15-62)95-52-39(76)42(38(75)44(93-52)48(79)80)91-50-37(74)35(72)34(71)29(18-64)89-50/h8,23,25-47,49-54,64-78,84H,9-22H2,1-7H3,(H,79,80)(H,81,82)/t23-,25-,26-,27+,28-,29+,30?,31?,32-,33-,34+,35-,36+,37+,38-,39+,40+,41-,42-,43-,44-,45+,46-,47-,49-,50-,51-,52-,53-,54-,58+,59+,60+,61-,62-,63+/m0/s1
  1420.5327 1 1
  1431.5590 9 9
  1431.8809 1 1
  1432.0615 14 14
  1432.1390 1 1
  1432.5618 11 11
  1433.0427 6 6
  1433.0859 2 2
  1433.5610 4 4
  1434.0641 1 1
  1434.4817 1 1
  1434.5376 3 3
  1435.0599 1 1
  1435.4865 2 2
  1435.5446 2 2
  1436.5461 1 1
  1442.4869 1 1
  1442.5437 1 1
  1442.5862 1 1
  1443.0403 3 3
  1443.5258 1 1
  1449.5493 2 2
  1449.6395 1 1
  1481.5167 10 10
  1481.6091 1 1
  1482.0353 1 1
  1482.5199 8 8
  1483.4592 1 1
  1483.5175 4 4
  1483.5586 1 1
  1484.5203 1 1
  1727.4906 2 2
  1727.7531 3 3
  1727.9886 3 3
  1728.1842 1 1
  1728.2518 5 5
  1728.4503 1 1
  1728.5061 3 3
  1728.7482 3 3
  1729.0022 1 1
  1729.0458 1 1
  1729.2157 1 1
  1729.2626 1 1
  1842.2958 1 1
  1842.4563 12 12
  1842.6379 1 1
  1842.7933 30 30
  1842.9916 1 1
  1843.1312 50 50
  1843.2958 1 1
  1843.4612 47 47
  1843.6761 1 1
  1843.8032 36 36
  1844.0856 1 1
  1844.1390 25 25
  1844.4628 14 14
  1844.7195 1 1
  1844.7994 8 8
  1845.1442 3 3
  1845.2024 1 1
  1845.4205 1 1
  1845.4713 1 1
  1849.7499 1 1
  1850.1007 3 3
  1850.1577 1 1
  1850.4409 4 4
  1850.4894 2 2
  1850.7988 6 6
  1851.1144 4 4
  1851.1835 1 1
  1851.3842 1 1
  1851.4708 4 4
  1851.7765 3 3
  1851.8464 1 1
  1852.1371 1 1
  1852.4578 1 1
  1882.0723 2 2
  1882.1450 1 1
  1882.4174 3 3
  1882.5148 1 1
  1882.7715 3 3
  1883.1208 2 2
  1883.4304 2 2
//
