ACCESSION: MSBNK-BAFG-CSL2311109518
RECORD_TITLE: Norgestrel; LC-ESI-QTOF; MS2; 30 V
DATE: 2025.01.17
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Norgestrel
CH$COMPOUND_CLASS: Pharmaceutical
CH$FORMULA: C21H28O2
CH$EXACT_MASS: 312.2089
CH$SMILES: CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
CH$IUPAC: InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3
  220.129 2.2 19
  221.1323 11.3 97
  222.1438 1.8 15
  223.147 7.2 62
  225.1307 4.1 35
  225.1648 12.8 110
  227.1436 2.5 21
  227.1798 32.3 279
  233.1339 2.7 23
  234.1384 1.3 11
  235.1487 11.6 100
  237.1649 16.9 146
  238.1383 1.3 11
  239.1415 5.9 51
  239.1806 3.3 28
  241.1583 4.3 37
  243.1757 4.9 42
  245.19 114.4 989
  247.1466 1.3 11
  248.1569 6.3 54
  249.1645 8.0 69
  251.1802 5.3 45
  253.161 2.7 23
  253.1951 4.1 35
  266.1649 6.7 57
  267.1725 6.9 59
  277.1964 16.3 140
  295.2064 31.4 271
  313.2173 115.5 999
//
