ACCESSION: MSBNK-BAFG-CSL2311095917
RECORD_TITLE: Didesmethyl-citalopram; LC-ESI-QTOF; MS2; 140 V
DATE: 2025.01.13
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Didesmethyl-citalopram
CH$COMPOUND_CLASS: Pharmaceutical; Metabolite; Transformation_product-Metabolite
CH$FORMULA: C18H17FN2O
CH$EXACT_MASS: 296.1325
CH$SMILES: c1cc(ccc1C2(c3ccc(cc3CO2)C#N)CCCN)F
CH$IUPAC: InChI=1S/C18H17FN2O/c19-16-5-3-15(4-6-16)18(8-1-9-20)17-7-2-13(11-21)10-14(17)12-22-18/h2-7,10H,1,8-9,12,20H2
  140.0503 1.1 39
  141.0104 0.9 32
  142.023 1.4 50
  143.0299 0.4 14
  144.036 2.7 97
  145.0084 0.7 25
  146.0146 6.4 231
  147.0198 5.5 199
  148.0317 1.4 50
  149.0391 2.9 104
  150.0469 4.4 159
  151.0489 1.3 47
  153.0106 0.7 25
  155.0306 1.6 57
  157.0036 0.6 21
  157.0445 1.3 47
  158.0148 1.4 50
  159.013 0.7 25
  159.0238 0.7 25
  161.0399 6.0 217
  162.0462 2.6 94
  163.0551 2.8 101
  164.0505 0.7 25
  165.0144 0.6 21
  166.0229 0.7 25
  167.0289 2.3 83
  168.0376 7.2 260
  169.043 1.5 54
  170.0161 2.7 97
  170.0545 1.3 47
  171.0223 2.3 83
  172.0282 1.5 54
  173.0383 1.5 54
  174.0473 4.5 162
  175.046 1.7 61
  179.0302 5.3 191
  180.0363 2.5 90
  181.0441 4.8 173
  182.0384 0.7 25
  185.0396 6.4 231
  186.0437 5.7 206
  186.0648 0.5 18
  187.0526 6.8 246
  188.0468 1.1 39
  188.0575 0.6 21
  190.0185 0.6 21
  191.0321 1.9 68
  192.0368 5.2 188
  193.039 2.0 72
  194.047 0.5 18
  196.0304 1.6 57
  197.0393 5.4 195
  198.0476 10.0 361
  199.0499 4.8 173
  200.0649 1.6 57
  203.0291 2.8 101
  204.0374 3.5 126
  205.0457 6.2 224
  206.0421 2.3 83
  209.0411 2.2 79
  210.0435 2.9 104
  211.052 4.9 177
  212.0501 2.2 79
  213.0626 0.6 21
  214.024 0.5 18
  215.0296 2.1 76
  215.0507 1.1 39
  216.0377 8.6 311
  217.0434 3.1 112
  218.0535 4.8 173
  219.0447 0.6 21
  222.0304 1.1 39
  223.0432 4.1 148
  224.0544 1.3 47
  225.0629 1.5 54
  227.0355 0.6 21
  228.0312 0.8 28
  229.043 3.1 112
  230.0439 1.9 68
  231.0596 1.1 39
  236.053 2.7 97
  240.0414 0.5 18
  241.0393 0.9 32
  242.0371 0.6 21
  243.0456 2.3 83
  254.0425 0.9 32
//
