ACCESSION: MSBNK-BAFG-CSL25011018106
RECORD_TITLE: Isopyrazam; LC-ESI-QTOF; MS2; 120 V
DATE: 2025.01.10
AUTHORS: Ole Lessmann; Kevin S. Jewell; Bjoern Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Isopyrazam
CH$COMPOUND_CLASS: Fungicide
CH$FORMULA: C20H23F2N3O
CH$EXACT_MASS: 359.1809
CH$SMILES: CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C
CH$IUPAC: InChI=1S/C20H23F2N3O/c1-10(2)16-12-7-8-13(16)17-11(12)5-4-6-15(17)23-20(26)14-9-25(3)24-18(14)19(21)22/h4-6,9-10,12-13,16,19H,7-8H2,1-3H3,(H,23,26)
  166.0619 8.7 261
  167.0458 0.5 15
  167.0724 6.5 195
  168.0638 1.1 33
  168.0811 0.7 21
  169.0405 1.2 36
  169.0718 0.5 15
  170.0351 0.4 12
  171.046 0.5 15
  172.0488 0.4 12
  172.0647 0.4 12
  173.0505 0.9 27
  174.0296 0.5 15
  174.0426 0.8 24
  175.0389 1.1 33
  175.0528 1.5 45
  176.0553 7.0 210
  177.0573 9.7 291
  178.064 10.0 300
  179.0595 10.6 318
  180.052 2.3 69
  180.0807 2.3 69
  181.0795 1.4 42
  182.0817 0.5 15
  183.0405 0.7 21
  187.0511 1.2 36
  188.0499 3.9 117
  189.0614 5.7 171
  190.0654 9.9 297
  191.0688 9.3 279
  192.0663 6.9 207
  193.0577 1.1 33
  193.0723 2.5 75
  194.0838 0.6 18
  196.0456 0.8 24
  200.0561 1.3 39
  201.0623 1.2 36
  202.0661 3.4 102
  203.069 4.7 141
  204.0546 1.8 54
  204.0823 3.8 114
  205.0747 4.2 126
  206.0737 3.5 105
  207.0801 0.9 27
  208.0547 0.5 15
  208.0827 0.4 12
  214.0618 0.9 27
  215.0662 2.1 63
  216.0713 2.8 84
  217.0791 2.6 78
  218.0759 0.8 24
  219.0812 1.1 33
  220.0647 0.4 12
  220.0841 1.0 30
  227.0766 0.5 15
  228.0717 1.0 30
  229.0767 0.7 21
  230.0707 1.4 42
  231.0824 0.8 24
  232.0815 1.0 30
  233.0608 1.0 30
  234.0672 0.5 15
  236.0829 0.6 18
  241.0845 0.4 12
  244.0744 0.5 15
//
