ACCESSION: MSBNK-BAFG-CSL25010618101
RECORD_TITLE: Isopyrazam; LC-ESI-QTOF; MS2; 50 V
DATE: 2025.01.06
AUTHORS: Ole Lessmann; Kevin S. Jewell; Björn Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
COMMENT: Acquisition method: 10.1002/rcm.8541
CH$NAME: Isopyrazam
CH$COMPOUND_CLASS: Fungicide
CH$FORMULA: C20H23F2N3O
CH$EXACT_MASS: 359.1809
CH$SMILES: CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C
CH$IUPAC: InChI=1S/C20H23F2N3O/c1-10(2)16-12-7-8-13(16)17-11(12)5-4-6-15(17)23-20(26)14-9-25(3)24-18(14)19(21)22/h4-6,9-10,12-13,16,19H,7-8H2,1-3H3,(H,23,26)
  250.0987 219.1 999
  251.1109 12.0 54
  252.1134 46.9 213
  256.0891 3.0 13
  257.0971 2.4 10
  258.1045 23.0 104
  260.1178 5.8 26
  261.1019 5.3 24
  262.098 43.4 197
  263.1065 24.2 110
  264.1142 51.6 235
  270.1027 6.2 28
  272.1201 4.9 22
  275.1099 3.9 17
  276.1146 58.7 267
  277.1219 46.7 212
  278.1285 120.6 549
  288.1241 2.7 12
  290.1313 9.7 44
  292.1447 50.5 230
  298.1336 3.4 15
  304.1447 9.2 41
  305.1514 4.1 18
  320.1762 28.0 127
//
