ACCESSION: MSBNK-BAFG-CSL2501108808
RECORD_TITLE: Mefloquine; LC-ESI-QTOF; MS2; 150 V
DATE: 2025.01.10
AUTHORS: Ole Lessmann; Kevin S. Jewell; Bjoern Ehlig; Arne Wick
LICENSE: dl-de/by-2-0
COPYRIGHT: Copyright 2025 Federal Institute of Hydrology, Koblenz, Germany
COMMENT: CONFIDENCE Reference Standard (Level 1)
COMMENT: Chromatography method: dx.doi.org/10.1016/j.chroma.2015.11.014
CH$NAME: Mefloquine
CH$COMPOUND_CLASS: Pharmaceutical
CH$FORMULA: C17H16F6N2O
CH$EXACT_MASS: 378.1167
CH$SMILES: C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
CH$IUPAC: InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2
  181.0472 3.4 164
  182.0402 7.8 378
  183.047 1.4 67
  184.0577 0.5 24
  185.0151 1.6 77
  185.0361 0.7 33
  186.0274 9.1 441
  187.0184 0.4 19
  187.0306 1.9 92
  188.0475 5.0 242
  189.0395 0.5 24
  189.0523 1.1 53
  190.0657 1.4 67
  191.0158 0.5 24
  191.0565 0.6 29
  192.0278 1.2 58
  193.0313 2.8 135
  194.03 0.9 43
  194.0488 0.7 33
  195.0507 1.1 53
  197.0178 0.8 38
  198.0204 1.6 77
  199.0373 2.1 101
  200.03 3.6 174
  201.0574 0.8 38
  202.0417 0.6 29
  202.0568 0.5 24
  203.0644 0.8 38
  204.024 1.6 77
  205.0393 1.1 53
  206.0394 2.4 116
  207.0307 0.5 24
  207.0401 0.7 33
  208.0544 0.7 33
  211.0247 0.9 43
  212.0306 0.8 38
  212.0488 0.5 24
  213.0352 1.7 82
  215.0239 0.5 24
  217.0305 0.5 24
  218.0241 0.8 38
  219.0516 1.0 48
  223.0279 0.4 19
  224.0301 1.0 48
  225.0416 0.5 24
  227.0392 0.5 24
  229.0242 0.4 19
  230.0361 0.5 24
  242.0202 0.4 19
//
